IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.191.110,2052,2052,false,SIN,Asia Pacific,Singapore,103,6.85
8.219.114.201,2087,2087,true,SIN,Asia Pacific,Singapore,68,6.80
47.236.83.239,8080,8080,false,SIN,Asia Pacific,Singapore,109,6.70
8.219.110.81,2087,2087,true,SIN,Asia Pacific,Singapore,70,6.69
8.219.199.220,2082,2082,false,SIN,Asia Pacific,Singapore,102,6.69
47.236.75.152,8443,8443,true,SIN,Asia Pacific,Singapore,111,6.65
8.222.187.4,2052,2052,false,SIN,Asia Pacific,Singapore,66,6.63
8.219.174.213,2052,2052,false,SIN,Asia Pacific,Singapore,100,6.54
8.219.202.130,2086,2086,false,SIN,Asia Pacific,Singapore,99,6.53
8.222.136.247,8080,8080,false,SIN,Asia Pacific,Singapore,83,6.48
8.219.122.55,8080,8080,false,SIN,Asia Pacific,Singapore,60,6.48
8.222.214.231,2052,2052,false,SIN,Asia Pacific,Singapore,70,6.42
8.222.181.117,443,443,true,SIN,Asia Pacific,Singapore,62,6.38
47.236.144.156,2082,2082,false,SIN,Asia Pacific,Singapore,105,6.26
8.219.114.201,8880,8880,false,SIN,Asia Pacific,Singapore,68,6.19
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,105,6.08
8.219.199.220,2095,2095,false,SIN,Asia Pacific,Singapore,107,5.99
8.219.126.240,2095,0,false,SIN,Asia Pacific,Singapore,66,5.93
8.222.169.222,2086,2086,false,SIN,Asia Pacific,Singapore,69,5.92
8.219.229.190,2083,2083,true,SIN,Asia Pacific,Singapore,99,5.92
8.222.244.192,2087,2087,true,SIN,Asia Pacific,Singapore,67,5.90
47.236.5.223,8080,8080,false,SIN,Asia Pacific,Singapore,103,5.87
47.237.14.220,2052,0,false,SIN,Asia Pacific,Singapore,249,5.84
8.219.229.190,2086,2086,false,SIN,Asia Pacific,Singapore,118,5.82
8.222.183.242,2086,0,false,SIN,Asia Pacific,Singapore,65,5.75
47.236.144.208,80,0,false,SIN,Asia Pacific,Singapore,110,5.74
8.219.144.168,443,443,true,SIN,Asia Pacific,Singapore,111,5.73
47.237.81.112,2096,0,true,SIN,Asia Pacific,Singapore,255,5.65
8.222.167.147,2086,2086,false,SIN,Asia Pacific,Singapore,63,5.61
8.219.222.98,2087,0,true,SIN,Asia Pacific,Singapore,104,5.60
47.236.123.133,2095,2095,false,SIN,Asia Pacific,Singapore,107,5.60
8.219.40.37,2087,2087,true,SIN,Asia Pacific,Singapore,67,5.43
8.222.164.209,2052,2052,false,SIN,Asia Pacific,Singapore,63,5.29
8.219.106.156,2096,2096,true,SIN,Asia Pacific,Singapore,87,5.07
8.219.222.98,443,443,true,SIN,Asia Pacific,Singapore,95,5.05
47.236.169.15,8880,8880,false,SIN,Asia Pacific,Singapore,111,5.04
47.236.102.102,2095,2095,false,SIN,Asia Pacific,Singapore,112,4.94
